generic_button: U+E000
generic_button_circle: U+E001
generic_button_circle_fill: U+E002
generic_button_circle_outline: U+E003
generic_button_finger: U+E004
generic_button_finger_pressed: U+E005
generic_button_pressed: U+E006
generic_button_square: U+E007
generic_button_square_fill: U+E008
generic_button_square_outline: U+E009
generic_button_trigger_a: U+E00A
generic_button_trigger_a_fill: U+E00B
generic_button_trigger_a_outline: U+E00C
generic_button_trigger_b: U+E00D
generic_button_trigger_b_fill: U+E00E
generic_button_trigger_b_outline: U+E00F
generic_button_trigger_c: U+E010
generic_button_trigger_c_fill: U+E011
generic_button_trigger_c_outline: U+E012
generic_joystick: U+E013
generic_joystick_horizontal: U+E014
generic_joystick_left: U+E015
generic_joystick_red: U+E016
generic_joystick_red_horizontal: U+E017
generic_joystick_red_left: U+E018
generic_joystick_red_right: U+E019
generic_joystick_right: U+E01A
generic_stick: U+E01B
generic_stick_down: U+E01C
generic_stick_horizontal: U+E01D
generic_stick_left: U+E01E
generic_stick_press: U+E01F
generic_stick_right: U+E020
generic_stick_up: U+E021
generic_stick_vertical: U+E022
switch_stick_side: U+E023
