controller_playstation1: U+E000
controller_playstation2: U+E001
controller_playstation3: U+E002
controller_playstation4: U+E003
controller_playstation5: U+E004
playstation3_button_select: U+E005
playstation3_button_select_outline: U+E006
playstation3_button_start: U+E007
playstation3_button_start_outline: U+E008
playstation4_button_options: U+E009
playstation4_button_options_outline: U+E00A
playstation4_button_share: U+E00B
playstation4_button_share_outline: U+E00C
playstation4_touchpad: U+E00D
playstation4_touchpad_grid: U+E00E
playstation4_touchpad_grid_outline: U+E00F
playstation4_touchpad_outline: U+E010
playstation4_touchpad_press: U+E011
playstation4_touchpad_press_center: U+E012
playstation4_touchpad_press_left: U+E013
playstation4_touchpad_press_right: U+E014
playstation4_touchpad_selected: U+E015
playstation4_touchpad_swipe_down: U+E016
playstation4_touchpad_swipe_horizontal: U+E017
playstation4_touchpad_swipe_left: U+E018
playstation4_touchpad_swipe_right: U+E019
playstation4_touchpad_swipe_up: U+E01A
playstation4_touchpad_swipe_vertical: U+E01B
playstation4_touchpad_touch: U+E01C
playstation4_touchpad_touch_outline: U+E01D
playstation5_button_create: U+E01E
playstation5_button_create_alternative: U+E01F
playstation5_button_create_alternative_outline: U+E020
playstation5_button_create_outline: U+E021
playstation5_button_mute: U+E022
playstation5_button_mute_outline: U+E023
playstation5_button_options: U+E024
playstation5_button_options_alternative: U+E025
playstation5_button_options_alternative_outline: U+E026
playstation5_button_options_outline: U+E027
playstation5_elite_fn_l: U+E028
playstation5_elite_fn_l_outline: U+E029
playstation5_elite_fn_r: U+E02A
playstation5_elite_fn_r_outline: U+E02B
playstation5_elite_lb: U+E02C
playstation5_elite_lb_outline: U+E02D
playstation5_elite_rb: U+E02E
playstation5_elite_rb_outline: U+E02F
playstation5_touchpad: U+E030
playstation5_touchpad_outline: U+E031
playstation5_touchpad_press: U+E032
playstation5_touchpad_press_center: U+E033
playstation5_touchpad_press_left: U+E034
playstation5_touchpad_press_right: U+E035
playstation5_touchpad_selected: U+E036
playstation5_touchpad_swipe_down: U+E037
playstation5_touchpad_swipe_horizontal: U+E038
playstation5_touchpad_swipe_left: U+E039
playstation5_touchpad_swipe_right: U+E03A
playstation5_touchpad_swipe_up: U+E03B
playstation5_touchpad_swipe_vertical: U+E03C
playstation5_touchpad_touch: U+E03D
playstation5_touchpad_touch_outline: U+E03E
playstation_button_analog: U+E03F
playstation_button_analog_outline: U+E040
playstation_button_circle: U+E041
playstation_button_circle_outline: U+E042
playstation_button_color_circle: U+E043
playstation_button_color_circle_outline: U+E044
playstation_button_color_cross: U+E045
playstation_button_color_cross_outline: U+E046
playstation_button_color_square: U+E047
playstation_button_color_square_outline: U+E048
playstation_button_color_triangle: U+E049
playstation_button_color_triangle_outline: U+E04A
playstation_button_cross: U+E04B
playstation_button_cross_outline: U+E04C
playstation_button_l3: U+E04D
playstation_button_l3_outline: U+E04E
playstation_button_r3: U+E04F
playstation_button_r3_outline: U+E050
playstation_button_square: U+E051
playstation_button_square_outline: U+E052
playstation_button_triangle: U+E053
playstation_button_triangle_outline: U+E054
playstation_dpad: U+E055
playstation_dpad_all: U+E056
playstation_dpad_down: U+E057
playstation_dpad_down_outline: U+E058
playstation_dpad_horizontal: U+E059
playstation_dpad_horizontal_outline: U+E05A
playstation_dpad_left: U+E05B
playstation_dpad_left_outline: U+E05C
playstation_dpad_none: U+E05D
playstation_dpad_right: U+E05E
playstation_dpad_right_outline: U+E05F
playstation_dpad_up: U+E060
playstation_dpad_up_outline: U+E061
playstation_dpad_vertical: U+E062
playstation_dpad_vertical_outline: U+E063
playstation_stick_l: U+E064
playstation_stick_l_down: U+E065
playstation_stick_l_horizontal: U+E066
playstation_stick_l_left: U+E067
playstation_stick_l_press: U+E068
playstation_stick_l_right: U+E069
playstation_stick_l_up: U+E06A
playstation_stick_l_vertical: U+E06B
playstation_stick_r: U+E06C
playstation_stick_r_down: U+E06D
playstation_stick_r_horizontal: U+E06E
playstation_stick_r_left: U+E06F
playstation_stick_r_press: U+E070
playstation_stick_r_right: U+E071
playstation_stick_r_up: U+E072
playstation_stick_r_vertical: U+E073
playstation_stick_side_l: U+E074
playstation_stick_side_r: U+E075
playstation_stick_top_l: U+E076
playstation_stick_top_r: U+E077
playstation_trigger_l1: U+E078
playstation_trigger_l1_alternative: U+E079
playstation_trigger_l1_alternative_outline: U+E07A
playstation_trigger_l1_outline: U+E07B
playstation_trigger_l2: U+E07C
playstation_trigger_l2_alternative: U+E07D
playstation_trigger_l2_alternative_outline: U+E07E
playstation_trigger_l2_outline: U+E07F
playstation_trigger_r1: U+E080
playstation_trigger_r1_alternative: U+E081
playstation_trigger_r1_alternative_outline: U+E082
playstation_trigger_r1_outline: U+E083
playstation_trigger_r2: U+E084
playstation_trigger_r2_alternative: U+E085
playstation_trigger_r2_alternative_outline: U+E086
playstation_trigger_r2_outline: U+E087
