controller_steamdeck: U+E000
steamdeck_button_a: U+E001
steamdeck_button_a_outline: U+E002
steamdeck_button_b: U+E003
steamdeck_button_b_outline: U+E004
steamdeck_button_guide: U+E005
steamdeck_button_guide_outline: U+E006
steamdeck_button_l1: U+E007
steamdeck_button_l1_outline: U+E008
steamdeck_button_l2: U+E009
steamdeck_button_l2_outline: U+E00A
steamdeck_button_l4: U+E00B
steamdeck_button_l4_outline: U+E00C
steamdeck_button_l5: U+E00D
steamdeck_button_l5_outline: U+E00E
steamdeck_button_options: U+E00F
steamdeck_button_options_outline: U+E010
steamdeck_button_quickaccess: U+E011
steamdeck_button_quickaccess_outline: U+E012
steamdeck_button_r1: U+E013
steamdeck_button_r1_outline: U+E014
steamdeck_button_r2: U+E015
steamdeck_button_r2_outline: U+E016
steamdeck_button_r4: U+E017
steamdeck_button_r4_outline: U+E018
steamdeck_button_r5: U+E019
steamdeck_button_r5_outline: U+E01A
steamdeck_button_view: U+E01B
steamdeck_button_view_outline: U+E01C
steamdeck_button_x: U+E01D
steamdeck_button_x_outline: U+E01E
steamdeck_button_y: U+E01F
steamdeck_button_y_outline: U+E020
steamdeck_dpad: U+E021
steamdeck_dpad_all: U+E022
steamdeck_dpad_down: U+E023
steamdeck_dpad_down_outline: U+E024
steamdeck_dpad_horizontal: U+E025
steamdeck_dpad_horizontal_outline: U+E026
steamdeck_dpad_left: U+E027
steamdeck_dpad_left_outline: U+E028
steamdeck_dpad_none: U+E029
steamdeck_dpad_right: U+E02A
steamdeck_dpad_right_outline: U+E02B
steamdeck_dpad_up: U+E02C
steamdeck_dpad_up_outline: U+E02D
steamdeck_dpad_vertical: U+E02E
steamdeck_dpad_vertical_outline: U+E02F
steamdeck_stick_l: U+E030
steamdeck_stick_l_down: U+E031
steamdeck_stick_l_horizontal: U+E032
steamdeck_stick_l_left: U+E033
steamdeck_stick_l_press: U+E034
steamdeck_stick_l_right: U+E035
steamdeck_stick_l_up: U+E036
steamdeck_stick_l_vertical: U+E037
steamdeck_stick_r: U+E038
steamdeck_stick_r_down: U+E039
steamdeck_stick_r_horizontal: U+E03A
steamdeck_stick_r_left: U+E03B
steamdeck_stick_r_press: U+E03C
steamdeck_stick_r_right: U+E03D
steamdeck_stick_r_up: U+E03E
steamdeck_stick_r_vertical: U+E03F
steamdeck_stick_side_l: U+E040
steamdeck_stick_side_r: U+E041
steamdeck_stick_top_l: U+E042
steamdeck_stick_top_r: U+E043
steamdeck_trackpad: U+E044
steamdeck_trackpad_all: U+E045
steamdeck_trackpad_all_outline: U+E046
steamdeck_trackpad_down: U+E047
steamdeck_trackpad_down_outline: U+E048
steamdeck_trackpad_horizontal: U+E049
steamdeck_trackpad_horizontal_outline: U+E04A
steamdeck_trackpad_l: U+E04B
steamdeck_trackpad_l_all: U+E04C
steamdeck_trackpad_l_all_outline: U+E04D
steamdeck_trackpad_l_down: U+E04E
steamdeck_trackpad_l_down_outline: U+E04F
steamdeck_trackpad_l_horizontal: U+E050
steamdeck_trackpad_l_horizontal_outline: U+E051
steamdeck_trackpad_l_left: U+E052
steamdeck_trackpad_l_left_outline: U+E053
steamdeck_trackpad_l_outline: U+E054
steamdeck_trackpad_l_right: U+E055
steamdeck_trackpad_l_right_outline: U+E056
steamdeck_trackpad_l_up: U+E057
steamdeck_trackpad_l_up_outline: U+E058
steamdeck_trackpad_l_vertical: U+E059
steamdeck_trackpad_l_vertical_outline: U+E05A
steamdeck_trackpad_left: U+E05B
steamdeck_trackpad_left_outline: U+E05C
steamdeck_trackpad_outline: U+E05D
steamdeck_trackpad_r: U+E05E
steamdeck_trackpad_r_all: U+E05F
steamdeck_trackpad_r_all_outline: U+E060
steamdeck_trackpad_r_down: U+E061
steamdeck_trackpad_r_down_outline: U+E062
steamdeck_trackpad_r_horizontal: U+E063
steamdeck_trackpad_r_horizontal_outline: U+E064
steamdeck_trackpad_r_left: U+E065
steamdeck_trackpad_r_left_outline: U+E066
steamdeck_trackpad_r_outline: U+E067
steamdeck_trackpad_r_right: U+E068
steamdeck_trackpad_r_right_outline: U+E069
steamdeck_trackpad_r_up: U+E06A
steamdeck_trackpad_r_up_outline: U+E06B
steamdeck_trackpad_r_vertical: U+E06C
steamdeck_trackpad_r_vertical_outline: U+E06D
steamdeck_trackpad_right: U+E06E
steamdeck_trackpad_right_outline: U+E06F
steamdeck_trackpad_up: U+E070
steamdeck_trackpad_up_outline: U+E071
steamdeck_trackpad_vertical: U+E072
steamdeck_trackpad_vertical_outline: U+E073
