P1 Fish,P1 Score,P1 Rating,P2 Fish,P2 Score,P2 Rating,P3 Fish ,P3 Score,P3 Rating,P4 Fish ,P4 Score,P4 Rating,Map,Avg Rating,Player Count,Avg Score
Pufferfish,1,0,,,0,,,0,Salmon,0,0,acid_factory,0,2,0.50
Pufferfish,0,-1,,,0,,,0,Bass,3,-1,firing_range,-0.5,2,1.50
Salmon,3,1,,,0,Flounder,1,-1,,,0,beach,0,2,2.00
Swordfish,2,0,,,0,Eel,0,0,,,0,valley,0,2,1.00
,,0,Salmon,2,1,,,0,Pufferfish,3,1,barrel,0.5,2,2.50
,,0,Flounder,2,1,Anglerfish,1,-1,,,0,valley,0,2,1.50
,,0,,,0,Flounder,0,0,Bass,0,0,acid_factory,0,2,0.00
,,0,Anglerfish,0,0,Flounder,0,0,Flyfish,,0,acid_factory,0,3,0.00
Bass,0,0,Bass,0,0,,,0,,,0,cargo_hold,0,2,0.00
Bass,0,1,,,0,,,0,Anglerfish,1,1,cargo_hold,0.5,2,0.50
Bass,1,0,,,0,,,0,Pufferfish,1,0,beach,0,2,1.00
Bass,0,0,Bass,,0,Bass,1,0,,,0,valley,0,3,0.33
,,0,Bass,1,0,Bass,0,0,,,0,firing_range,0,2,0.50
Bass,0,0,Bass,0,0,,,0,,,0,valley,0,2,0.00
Anglerfish,1,0,Salmon,2,0,Swordfish,1,0,Salmon,3,0,firing_range,0,4,1.75
,,0,Flyfish,2,0,,,0,Bass,0,0,barrel,0,2,1.00
Pufferfish,2,1,Anglerfish,0,1,Swordfish,3,1,,,0,beach,0.75,3,1.67
Salmon,2,0,,,0,,,0,Bass,0,0,acid_factory,0,2,1.00
Needlefish,1,0,,,0,Swordfish,3,0,,,0,firing_range,0,2,2.00
Pufferfish,2,0,,,0,Anglerfish,0,0,,,0,beach,0,2,1.00
,,0,Bass,1,0,Bass,1,0,,,0,cargo_hold,0,2,1.00
Needlefish,3,0,Swordfish,3,0,Anglerfish,1,0,Salmon,2,0,beach,0,4,2.25
Pufferfish,3,0,Eel,4,0,Bass,1,-1,Flounder,1,0,beach,-0.25,4,2.25
Bass,0,0,Flyfish,1,0,Salmon,1,0,Salmon,3,0,valley,0,4,1.25
Flounder,2,0,Needlefish,0,1,Pufferfish,1,0,Flyfish,3,0,valley,0.25,4,1.50
Salmon,0,0,Eel,3,0,Salmon,1,0,,,0,firing_range,0,3,1.33
Pufferfish,3,0,Swordfish,1,0,Anglerfish,2,0,Flounder,1,0,cargo_hold,0,4,1.75
,,0,Flyfish,1,1,,,0,Eel,0,0,acid_factory,0.25,2,0.50
Needlefish,1,0,,,0,Bass,0,1,,,0,valley,0.25,2,0.50
Anglerfish,2,0,,,0,Flyfish,0,1,,,0,firing_range,0.25,2,1.00
Swordfish,1,0,,,0,Needlefish,1,0,,,0,barrel,0,2,1.00
Pufferfish,6,0,Eel,2,1,,,0,Eel,0,0,beach,0.25,3,2.67
Bass,3,0,Anglerfish,1,0,,,0,Pufferfish,1,0,beach,0,3,1.67
Salmon,5,0,Needlefish,2,0,Flounder,2,0,Bass,2,0,beach,0,4,2.75
Swordfish,1,1,Pufferfish,0,1,,,0,,,0,beach,0.5,2,0.50
Pufferfish,2,0,Anglerfish,0,0,Eel,0,0,Swordfish,2,0,beach,0,4,1.00
Eel,1,0,Anglerfish,0,0,Needlefish,3,0,Anglerfish,2,0,firing_range,0,4,1.50
Pufferfish,2,0,,,0,Needlefish,4,0,Flounder,1,0,barrel,0,3,2.33
Flounder,0,0,,,0,Salmon,0,0,Needlefish,2,0,firing_range,0,3,0.67
Bass,3,0,,,0,Salmon,1,0,Anglerfish,0,0,valley,0,3,1.33
Pufferfish,3,0,,,0,Anglerfish,0,0,,,0,beach,0,2,1.50
Eel,0,1,,,0,Flounder,1,0,,,0,valley,0.25,2,0.50
Pufferfish,3,-1,,,0,Flounder,2,0,Eel,2,0,cargo_hold,-0.25,3,2.33
Needlefish,1,1,,,0,Swordfish,3,1,,,0,barrel,0.5,2,2.00
Salmon,0,-1,,,0,Swordfish,1,0,,,0,beach,-0.25,2,0.50
Flyfish,1,0,,,0,Salmon,1,0,,,0,valley,0,2,1.00
Bass,3,1,,,0,,,0,Bass,2,1,beach,0.5,2,2.50
Needlefish,3,1,Anglerfish,1,1,,,0,Flyfish,3,0,beach,0.5,3,2.33
Needlefish,0,0,Salmon,0,0,Anglerfish,1,0,Swordfish,5,0,cargo_hold,0,4,1.50
Flounder,1,0,Pufferfish,3,0,Salmon,4,0,Eel,1,1,acid_factory,0.25,4,2.25
Eel,2,0,Bass,2,0,Swordfish,0,0,Anglerfish,7,0,firing_range,0,4,2.75
Flyfish,2,1,,,0,Pufferfish,3,0,,,0,barrel,0.25,2,2.50
Flounder,1,0,Bass,,0,Swordfish,3,0,Pufferfish,0,0,acid_factory,0,4,1.00
Anglerfish,5,0,Needlefish,3,0,Salmon,2,0,Bass,1,0,barrel,0,4,2.75
Flyfish,2,1,Bass,3,0,Flyfish,6,0,Flounder,0,0,barrel,0.25,4,2.75
Pufferfish,1,0,Needlefish,0,0,Flounder,3,0,,,0,acid_factory,0,3,1.33
Flyfish,1,0,Salmon,4,0,Needlefish,3,0,,,0,cargo_hold,0,3,2.67
Flyfish,1,1,,,0,Pufferfish,1,0,,,0,beach,0.25,2,1.00
Anglerfish,1,0,,,0,Flounder,1,0,,,0,firing_range,0,2,1.00
Eel,0,-1,,,0,Flyfish,2,-1,,,0,cargo_hold,-0.5,2,1.00
Needlefish,2,0,,,0,Pufferfish,3,0,,,0,barrel,0,2,2.50
Flounder,1,0,,,0,Bass,1,-1,,,0,acid_factory,-0.25,2,1.00
Needlefish,1,0,,,0,Swordfish,2,0,,,0,cargo_hold,0,2,1.50
Needlefish,2,0,Anglerfish,1,0,Flyfish,3,0,Eel,4,0,barrel,0,4,2.50
,,0,Eel,1,1,Needlefish,1,1,,,0,beach,0.5,2,1.00
,,0,Flyfish,0,1,Salmon,2,1,,,0,acid_factory,0.5,2,1.00
,,0,Flounder,1,1,Pufferfish,2,1,,,0,cargo_hold,0.5,2,1.50
Eel,,0,Bass,2,-1,Needlefish,0,1,Flyfish,,0,firing_range,0,4,0.50
,,0,Eel,1,0,Flyfish,1,0,,,0,acid_factory,0,2,1.00
,,0,Bass,3,-1,Salmon,2,1,,,0,barrel,0,2,2.50
,,0,Anglerfish,2,0,Bass,0,1,,,0,beach,0.25,2,1.00
,,0,Flounder,1,0,Pufferfish,1,0,,,0,firing_range,0,2,1.00
,,0,Flyfish,3,0,Pufferfish,1,1,,,0,beach,0.25,2,2.00
Bass,0,0,Bass,2,0,Bass,,0,Salmon,2,0,acid_factory,0,4,1.00
Salmon,3,1,,,0,Eel,1,1,,,0,cargo_hold,0.5,2,2.00
,,0,Pufferfish,3,0,Anglerfish,1,0,Bass,,0,barrel,0,3,1.33
,,0,Swordfish,3,0,Swordfish,2,0,,,0,firing_range,0,2,2.50
Swordfish,1,1,,,0,Flyfish,0,1,,,0,firing_range,0.5,2,0.50
,,0,Bass,1,1,,,0,Pufferfish,1,0,firing_range,0.25,2,1.00
,,0,Salmon,1,1,,,0,Salmon,3,0,beach,0.25,2,2.00
,,0,Flyfish,0,0,,,0,Flounder,0,0,valley,0,2,0.00
Bass,1,0,Needlefish,2,0,Anglerfish,1,1,Swordfish,1,0,acid_factory,0.25,4,1.25
Flyfish,0,0,,,0,,,0,Needlefish,0,0,cargo_hold,0,2,0.00
Flyfish,0,0,Anglerfish,0,0,Flyfish,,0,Pufferfish,2,0,acid_factory,0,4,0.50
Eel,0,0,Flounder,1,0,,,0,Pufferfish,5,0,cargo_hold,0,3,2.00
,,0,Bass,0,0,,,0,Salmon,1,0,valley,0,2,0.50
Flyfish,1,0,,,0,,,0,Salmon,0,0,firing_range,0,2,0.50
Salmon,2,0,,,0,,,0,Flounder,0,0,cargo_hold,0,2,1.00
Bass,0,0,,,0,,,0,Salmon,0,0,valley,0,2,0.00
Flyfish,2,0,Salmon,1,0,,,0,Eel,2,0,acid_factory,0,3,1.67
Salmon,3,1,,,0,Pufferfish,0,1,,,0,cargo_hold,0.5,2,1.50
Flyfish,0,0,,,0,Pufferfish,2,0,,,0,acid_factory,0,2,1.00
Salmon,3,0,Salmon,1,0,,,0,Swordfish,0,1,valley,0.25,3,1.33
Swordfish,1,0,Pufferfish,4,0,,,0,Anglerfish,1,0,barrel,0,3,2.00
,,0,Bass,0,-1,Bass,0,1,,,0,acid_factory,0,2,0.00
,,0,Salmon,2,0,Flyfish,1,0,,,0,cargo_hold,0,2,1.50
Bass,1,0,Salmon,3,0,,,0,,,0,beach,0,2,2.00
Flyfish,1,0,Bass,1,0,,,0,,,0,cargo_hold,0,2,1.00
Bass,0,1,,,0,Bass,1,1,,,0,acid_factory,0.5,2,0.50
Bass,1,0,,,0,Bass,1,0,,,0,beach,0,2,1.00
Pufferfish,0,0,,,0,Swordfish,2,0,,,0,acid_factory,0,2,1.00
Bass,,0,Flyfish,1,0,Salmon,2,0,,,0,beach,0,3,1.00
Flyfish,0,0,,,0,Anglerfish,0,0,Eel,5,0,barrel,0,3,1.67
,,0,Salmon,1,0,Bass,1,0,,,0,valley,0,2,1.00
Flyfish,1,0,,,0,Needlefish,1,0,,,0,barrel,0,2,1.00
Anglerfish,2,0,,,0,Needlefish,0,0,Eel,3,0,beach,0,3,1.67
Salmon,3,1,,,0,,,0,Swordfish,0,0,barrel,0.25,2,1.50
Flyfish,1,0,,,0,,,0,Bass,0,0,firing_range,0,2,0.50
,,0,Flyfish,1,-1,,,0,Flyfish,0,0,cargo_hold,-0.25,2,0.50
,,0,Flyfish,3,-1,Pufferfish,1,0,,,0,barrel,-0.25,2,2.00
,,0,Needlefish,0,-1,Swordfish,2,0,Flyfish,0,0,cargo_hold,-0.25,3,0.67
Flounder,2,-1,Salmon,2,0,Anglerfish,2,0,Eel,1,0,valley,-0.25,4,1.75
Salmon,1,0,,,0,,,0,Needlefish,1,0,cargo_hold,0,2,1.00
Pufferfish,2,0,Needlefish,2,0,Swordfish,2,0,Anglerfish,0,0,firing_range,0,4,1.50
Pufferfish,2,0,Needlefish,0,0,Flounder,2,0,,,0,acid_factory,0,3,1.33
,,0,Swordfish,1,0,,,0,Pufferfish,2,0,cargo_hold,0,2,1.50
,,0,Pufferfish,2,0,Bass,0,0,,,0,valley,0,2,1.00
Flyfish,0,0,,,0,Needlefish,0,1,Anglerfish,2,0,acid_factory,0.25,3,0.67
Flyfish,1,1,,,0,Salmon,2,0,Flyfish,0,0,cargo_hold,0.25,3,1.00
Flyfish,1,1,,,0,Bass,,0,Flounder,0,1,cargo_hold,0.5,3,0.33
Pufferfish,,0,Pufferfish,3,1,,,0,Swordfish,2,1,barrel,0.5,3,1.67
,,0,Flounder,0,1,Needlefish,1,1,Flyfish,,0,valley,0.5,3,0.33
,,0,Anglerfish,1,1,Flyfish,0,1,,,0,cargo_hold,0.5,2,0.50
,,0,Swordfish,1,1,Salmon,3,1,,,0,cargo_hold,0.5,2,2.00
,,0,Eel,0,1,Eel,2,1,,,0,firing_range,0.5,2,1.00
Bass,0,-1,Bass,0,-1,Anglerfish,,0,,,0,cargo_hold,-0.5,3,0.00
Needlefish,1,0,,,0,Flyfish,1,0,Salmon,0,0,valley,0,3,0.67
Bass,1,0,Bass,0,0,,,0,,,0,firing_range,0,2,0.50
,,0,Bass,0,1,Swordfish,2,1,Pufferfish,,0,valley,0.5,3,0.67
,,0,Salmon,1,0,Pufferfish,1,0,,,0,valley,0,2,1.00
Bass,0,1,Bass,2,1,Bass,1,1,,,0,valley,0.75,3,1.00
Bass,4,0,Bass,1,0,Bass,1,0,Bass,0,0,cargo_hold,0,4,1.50
Pufferfish,2,0,Anglerfish,0,1,Bass,,0,Needlefish,2,0,firing_range,0.25,4,1.00
,,0,Bass,1,0,,,0,Salmon,3,0,firing_range,0,2,2.00
Bass,2,0,Pufferfish,3,0,Eel,3,0,,,0,barrel,0,3,2.67
Anglerfish,0,0,Pufferfish,3,0,Swordfish,3,0,,,0,beach,0,3,2.00
Anglerfish,0,0,,,0,Pufferfish,1,0,,,0,cargo_hold,0,2,0.50
,,0,,,0,Bass,0,1,Pufferfish,2,1,barrel,0.5,2,1.00
,,0,Salmon,0,0,Flounder,0,0,,,0,valley,0,2,0.00
Bass,0,0,Bass,1,0,,,0,,,0,acid_factory,0,2,0.50
Pufferfish,2,1,,,0,Needlefish,1,1,,,0,acid_factory,0.5,2,1.50
Flyfish,1,0,,,0,Salmon,4,0,Pufferfish,1,0,firing_range,0,3,2.00
,,0,Flyfish,1,0,,,0,Bass,0,0,valley,0,2,0.50
Pufferfish,1,0,Flyfish,,0,Pufferfish,1,0,,,0,valley,0,3,0.67
Flyfish,0,0,,,0,Eel,0,0,,,0,valley,0,2,0.00
Salmon,0,0,,,0,,,0,Bass,1,0,firing_range,0,2,0.50
Flyfish,0,1,,,0,Anglerfish,0,-1,Bass,1,-1,valley,-0.25,3,0.33
,,0,Pufferfish,1,0,Needlefish,1,-1,,,0,firing_range,-0.25,2,1.00
Needlefish,2,1,,,0,Flounder,1,1,,,0,firing_range,0.5,2,1.50
Salmon,2,1,,,0,Eel,2,1,,,0,firing_range,0.5,2,2.00
Salmon,1,1,,,0,Bass,0,1,Flyfish,5,1,firing_range,0.75,3,2.00
Salmon,1,0,,,0,Bass,0,1,,,0,cargo_hold,0.25,2,0.50
,,0,Pufferfish,0,0,Flounder,0,0,,,0,valley,0,2,0.00
Bass,0,0,,,0,Bass,0,1,,,0,cargo_hold,0.25,2,0.00
Salmon,4,0,,,0,Swordfish,0,1,Needlefish,0,0,barrel,0.25,3,1.33
,,0,Bass,0,0,Flyfish,0,0,,,0,firing_range,0,2,0.00
,,0,Bass,0,0,Eel,1,0,,,0,cargo_hold,0,2,0.50
Salmon,0,0,Flyfish,,0,Flyfish,1,1,,,0,valley,0.25,3,0.33
Swordfish,1,0,Anglerfish,2,0,Eel,2,-1,,,0,acid_factory,-0.25,3,1.67
Anglerfish,0,-1,Flounder,0,-1,Bass,3,1,,,0,valley,-0.25,3,1.00
Anglerfish,2,1,Pufferfish,0,1,,,0,Eel,2,1,acid_factory,0.75,3,1.33
Salmon,1,0,Flounder,1,1,,,0,Needlefish,3,0,cargo_hold,0.25,3,1.67
Eel,2,0,Flyfish,3,1,,,0,Needlefish,2,1,barrel,0.5,3,2.33
,,0,Flyfish,2,0,,,0,Flyfish,2,0,cargo_hold,0,2,2.00
Swordfish,5,0,Flounder,1,0,Bass,3,0,Flyfish,2,0,barrel,0,4,2.75
Needlefish,0,0,Anglerfish,0,0,Flyfish,1,0,Anglerfish,3,0,valley,0,4,1.00
Bass,,0,Flyfish,0,0,Bass,,0,Needlefish,0,0,cargo_hold,0,4,0.00
Bass,2,0,,,0,Salmon,2,0,,,0,valley,0,2,2.00
Bass,1,0,Bass,2,0,,,0,Bass,0,0,cargo_hold,0,3,1.00
Bass,1,0,Bass,3,0,,,0,Bass,3,0,barrel,0,3,2.33
Bass,1,0,Bass,2,0,,,0,Bass,2,0,firing_range,0,3,1.67
,,0,Salmon,2,1,Flounder,0,1,,,0,acid_factory,0.5,2,1.00
,,0,Needlefish,1,1,Salmon,2,1,,,0,cargo_hold,0.5,2,1.50
,,0,Anglerfish,1,0,Salmon,1,0,,,0,valley,0,2,1.00
Flyfish,1,1,Salmon,3,1,Salmon,2,1,,,0,acid_factory,0.75,3,2.00
Eel,2,0,Flounder,3,0,Bass,2,0,,,0,barrel,0,3,2.33
,,0,Salmon,0,0,Flyfish,2,1,,,0,acid_factory,0.25,2,1.00
,,0,Needlefish,1,1,Flounder,1,1,,,0,barrel,0.5,2,1.00
,,0,Swordfish,1,1,Anglerfish,1,1,,,0,firing_range,0.5,2,1.00
,,0,Pufferfish,2,1,Anglerfish,0,1,,,0,beach,0.5,2,1.00
,,0,Bass,1,0,Salmon,3,0,,,0,cargo_hold,0,2,2.00
,,0,Eel,1,0,Salmon,0,0,,,0,valley,0,2,0.50
,,0,Anglerfish,2,0,Flyfish,0,0,,,0,acid_factory,0,2,1.00
Bass,,0,Bass,1,-1,Flyfish,3,1,,,0,barrel,0,3,1.33
Bass,,0,Pufferfish,0,0,Salmon,0,0,,,0,acid_factory,0,3,0.00
Pufferfish,0,0,Flyfish,2,0,Pufferfish,2,0,Bass,1,0,valley,0,4,1.25
Salmon,0,0,Flounder,3,0,Pufferfish,3,0,Salmon,4,0,barrel,0,4,2.50
Salmon,4,0,Flounder,0,0,Anglerfish,2,0,Bass,3,0,beach,0,4,2.25
,,0,Salmon,2,0,,,0,Needlefish,1,0,cargo_hold,0,2,1.50
Anglerfish,1,0,Salmon,4,0,Anglerfish,3,0,Flounder,3,1,barrel,0.25,4,2.75
Pufferfish,3,0,Bass,,0,Bass,2,0,Bass,0,0,barrel,0,4,1.25
Flounder,0,0,,,0,Flyfish,2,0,,,0,acid_factory,0,2,1.00
Pufferfish,0,0,Bass,0,0,Flounder,2,0,Eel,0,0,valley,0,4,0.50
,,0,Bass,2,0,Bass,0,0,,,0,firing_range,0,2,1.00
,,0,Pufferfish,2,0,Swordfish,2,0,,,0,barrel,0,2,2.00
,,0,Swordfish,2,0,Salmon,3,0,,,0,firing_range,0,2,2.50
Needlefish,0,1,,,0,Flyfish,0,1,,,0,firing_range,0.5,2,0.00
Eel,,0,Bass,2,1,Flounder,0,1,,,0,valley,0.5,3,0.67
Flyfish,0,0,Salmon,0,0,,,0,,,0,valley,0,2,0.00
,,0,Anglerfish,0,0,Needlefish,1,0,,,0,acid_factory,0,2,0.50
Flyfish,0,0,Bass,,0,,,0,Bass,0,1,acid_factory,0.25,3,0.00
Eel,0,0,,,0,,,0,Bass,2,0,beach,0,2,1.00
Flyfish,0,0,Swordfish,1,0,,,0,Flounder,1,0,firing_range,0,3,0.67
,,0,Bass,3,0,Flyfish,1,0,,,0,barrel,0,2,2.00
Flyfish,3,0,Bass,1,0,Bass,3,0,,,0,beach,0,3,2.33
Anglerfish,2,0,Pufferfish,4,1,Needlefish,4,0,Salmon,0,0,beach,0.25,4,2.50
Flounder,1,1,,,0,,,0,Bass,0,1,beach,0.5,2,0.50
